sport,bucket,fills,usd,capital_usd,avg_price,won_pct,fills_won_pct,edge_pts,roi_after_fee,ci_lo,ci_hi
tennis,"[0.5, 0.55)",748186,84248208.0,85635248.0,0.5220767855644226,0.5319479703903198,0.5193842053413391,0.009871184825897217,0.0021121214194051697,-0.042073389810292725,0.047352073570967365
tennis,"[0.55, 0.6)",742128,94210672.0,95615440.0,0.5728081464767456,0.5533449053764343,0.5631252527236938,-0.01946324110031128,-0.04818880450738611,-0.08880138429162526,-0.008385202302107975
tennis,"[0.6, 0.65)",856322,108502984.0,109889104.0,0.6236880421638489,0.6196511387825012,0.6204943656921387,-0.004036903381347656,-0.01905865119237426,-0.06156094323471372,0.022140692285964818
tennis,"[0.65, 0.7)",662561,91276016.0,92247504.0,0.6785774230957031,0.6687096357345581,0.6645606756210327,-0.00986778736114502,-0.024875844746267393,-0.06588926956696209,0.016979696825634112
tennis,"[0.7, 0.75)",492910,72453728.0,73100552.0,0.7255496382713318,0.7239340543746948,0.7102716565132141,-0.0016155838966369629,-0.011008558611857528,-0.04861829295246099,0.022802109498133605
tennis,"[0.75, 0.8)",545367,86824112.0,87477184.0,0.7729771733283997,0.7714589834213257,0.7580766677856445,-0.0015181899070739746,-0.009533753037353272,-0.05643941753590367,0.03267148347384303
tennis,"[0.8, 0.85)",515744,97489624.0,98075096.0,0.8210503458976746,0.858759880065918,0.8099367022514343,0.03770953416824341,0.04005269000408369,-0.00012215792866326642,0.07506933172321387
tennis,"[0.85, 0.9)",506468,103372040.0,103791296.0,0.8756564259529114,0.8820585012435913,0.872195303440094,0.006402075290679932,0.003540361346361008,-0.01885630494211358,0.02443159613520254
tennis,"[0.9, 0.925)",249179,38342176.0,38449112.0,0.9144672155380249,0.8820769190788269,0.9049438238143921,-0.032390296459198,-0.03798818199843074,-0.0927754377977446,0.0014183147237367213
tennis,"[0.925, 0.95)",250108,55500780.0,55610384.0,0.9394635558128357,0.933838427066803,0.9313336610794067,-0.005625128746032715,-0.007953353284187205,-0.024560065228567688,0.006015716593367647
tennis,"[0.95, 0.96)",68744,18678340.0,18702864.0,0.9586236476898193,0.95154869556427,0.9563598036766052,-0.007074952125549316,-0.008671867094759754,-0.027103885658160763,0.006871426496315836
