bucket,fills,usd,capital_usd,avg_price,won_pct,fills_won_pct,edge_pts,roi_after_fee,ci_lo,ci_hi
"[0.5, 0.55)",4064470,805626240.0,813249920.0,0.5213305950164795,0.5089475512504578,0.5082876682281494,-0.012383043766021729,-0.03256244931858335,-0.06826870351337094,0.003320643482831107
"[0.55, 0.6)",3896866,816107200.0,823145856.0,0.5711819529533386,0.5713205337524414,0.5634984374046326,0.0001385807991027832,-0.00880309712382006,-0.04986678442722005,0.03236448760090156
"[0.6, 0.65)",4107823,915647168.0,922703232.0,0.6244373917579651,0.629414975643158,0.6187462210655212,0.004977583885192871,0.0005369721691781762,-0.04387971908488012,0.04064649071488792
"[0.65, 0.7)",3117506,671129600.0,675487488.0,0.6790534853935242,0.6658675074577332,0.6744654178619385,-0.013185977935791016,-0.026364114723025182,-0.07123011784400643,0.018275254227688446
"[0.7, 0.75)",2230846,493925888.0,496753440.0,0.7255719304084778,0.7374154925346375,0.7118299603462219,0.011843562126159668,0.010182131806470613,-0.026086175698309903,0.04382220569533697
"[0.75, 0.8)",2462762,556618112.0,559259904.0,0.7710514664649963,0.7797483801841736,0.7566309571266174,0.008696913719177246,0.00665272502453931,-0.022570970774262386,0.03429730991830168
"[0.8, 0.85)",2324379,509083136.0,511092896.0,0.8211506009101868,0.8032006621360779,0.7962866425514221,-0.017949938774108887,-0.025479868130464826,-0.05840643888673377,0.006152411851855288
"[0.85, 0.9)",2268766,557832448.0,559357184.0,0.8755027651786804,0.866919994354248,0.8645303249359131,-0.008582770824432373,-0.012513206186084747,-0.03782385786458529,0.009007926164437643
"[0.9, 0.925)",824718,192492656.0,192883024.0,0.9142875075340271,0.8891897201538086,0.8984186053276062,-0.025097787380218506,-0.02928792059613353,-0.06481199704885623,-0.0026409259648982443
"[0.925, 0.95)",1065643,278764544.0,279161088.0,0.9397854208946228,0.933139443397522,0.9341036081314087,-0.00664597749710083,-0.008459829859712869,-0.023655187078080935,0.00473226147880206
"[0.95, 0.96)",317103,93054528.0,93144856.0,0.958351194858551,0.950700581073761,0.9551407694816589,-0.007650613784790039,-0.008927439511759677,-0.021740160089315806,0.0012854677359765618
"[0.96, 0.97)",151763,56402508.0,56449192.0,0.9663045406341553,0.9649721384048462,0.968127965927124,-0.001332402229309082,-0.002214035960420327,-0.01366592259660801,0.007343888130990469
"[0.97, 0.98)",313282,123912704.0,123994184.0,0.9738008975982666,0.9707547426223755,0.9715591669082642,-0.0030461549758911133,-0.00379580535477594,-0.011842621046473448,0.0027177134433772876
"[0.98, 0.99)",330877,155672960.0,155726784.0,0.9844142198562622,0.9840413928031921,0.9820356369018555,-0.00037282705307006836,-0.0007243404155500056,-0.0046344425184631725,0.002867942034511696
"[0.99, 1.0)",485637,411550880.0,411578752.0,0.9962950944900513,0.9962930679321289,0.9929124116897583,-2.0265579223632812e-06,-6.921091884028383e-05,-0.0012762192289796168,0.0009427445645726143
