threshold_pct,period,signals,bets,unfilled,partial,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi,pnl_usd,capital_usd
50,dev,17831,16681,1150,13080,0.6920557239881616,0.6854805,-0.006575237206793555,-0.03294971141986614,-0.049135003448107055,-0.016888772545584574,-19836.46056319052,602022.2851247997
50,holdout,7074,6723,351,5364,0.6983448848511764,0.7016213,0.003276415163697931,-0.00981002759384997,-0.03345775079016556,0.014280272727133827,-2259.72878280684,230348.87121250236
51,dev,17830,16663,1167,13077,0.6925714974220808,0.68646103,-0.006110475997367355,-0.03324700045357976,-0.049235894969292315,-0.0169135703522729,-19972.732171277632,600737.8680420817
51,holdout,7073,6715,358,5356,0.6988477187532146,0.7012658,0.00241810403159547,-0.014061516569010224,-0.03730940824502926,0.010287591625484165,-3236.911232861504,230196.452635503
52,dev,17792,16645,1147,13089,0.6933646033962556,0.6874437,-0.005920926616441813,-0.03296450590975139,-0.04894850883419991,-0.016904971064380502,-19736.326026384486,598714.4500335492
52,holdout,7045,6698,347,5354,0.700122912334004,0.70282173,0.002698825498184684,-0.016031840324089212,-0.03980805270623268,0.0070524568674608665,-3660.3748921707347,228319.07118427998
53,dev,17784,16675,1109,13130,0.6945037764176794,0.68890554,-0.00559822919129253,-0.03288442829867326,-0.04922228368379612,-0.016713722009646766,-19676.93089158653,598366.2149413256
53,holdout,7043,6698,345,5348,0.7013408724795921,0.701702,0.0003611281176010649,-0.020107547491281366,-0.04351373406227102,0.003981613933596511,-4579.103108115797,227730.56286955412
54,dev,17779,16688,1091,13172,0.6968459413759232,0.69256353,-0.004282422679854148,-0.026079205141233082,-0.04261268815914379,-0.010975531786029944,-15494.712319000868,594140.51291397
54,holdout,7042,6698,344,5354,0.7032672550121006,0.7041654,0.0008981675020827575,-0.0183530167272415,-0.04205335400519603,0.0056245757630598294,-4194.5154514042415,228546.37544019095
55,dev,17776,16709,1067,13236,0.6992085098924197,0.69591236,-0.00329612734409243,-0.026706993660011814,-0.04238789944037908,-0.012254555329301024,-15848.843758054394,593434.2127689479
55,holdout,7042,6713,329,5381,0.7054127464679959,0.70572025,0.00030749783410447803,-0.015011739629524623,-0.04024599532428183,0.008518579307883297,-3417.082970300772,227627.38061218165
56,dev,17772,16733,1039,13295,0.7021192202973137,0.6990976,-0.0030216287118238878,-0.02684186110258346,-0.04328811996528949,-0.012001288815580251,-15802.591453865576,588729.3505272114
56,holdout,7038,6730,308,5413,0.7080283697190823,0.70572066,-0.002307715930077863,-0.021859476424728096,-0.04460731591904516,0.0020349919944914778,-4939.778387274364,225978.8062300677
57,dev,17766,16749,1017,13346,0.7056846104384793,0.7027584,-0.0029262368042324255,-0.023326934458812905,-0.038644611414454084,-0.007614995843028865,-13681.429576550323,586507.824279563
57,holdout,7039,6746,293,5442,0.7106596867333277,0.71064335,-1.63425293549776e-05,-0.017556868049286904,-0.040848041672483466,0.006502198096869546,-3932.3299875371104,223976.73528661212
58,dev,17762,16761,1001,13406,0.7092545790139164,0.7078635,-0.0013910863822118584,-0.015851737252872228,-0.031078637972026313,-0.0012141293824831638,-9206.505827897116,580788.444889784
58,holdout,7038,6756,282,5490,0.7142034386096621,0.71188575,-0.002317707407767424,-0.022612684221085852,-0.04534756732243127,0.0007490209229190528,-5011.476518762151,221622.36334990492
59,dev,17758,16800,958,13432,0.7127732492415678,0.7108333,-0.00193991590823446,-0.01676831931473609,-0.031597313117748785,-0.0019869138079750912,-9784.687884128332,583522.2779619598
59,holdout,7037,6745,292,5492,0.7180191114600099,0.71593773,-0.002081379806933534,-0.020470237171133547,-0.0435971490168757,0.003781890113090854,-4512.370435086244,220435.66947282065
60,dev,17755,16804,951,13566,0.7165742686669675,0.7158415,-0.0007328023494240557,-0.010050647239776757,-0.024207868198210074,0.004530993490756662,-5759.565713026017,573054.2099051871
60,holdout,7036,6739,297,5498,0.7214460535291961,0.7190236,-0.002422459524150842,-0.026911295811875152,-0.049040880623725,-0.005241280222431648,-5926.728247846586,220231.99065840957
61,dev,17753,16838,915,13630,0.7213912751038464,0.7205131,-0.0008781500296094863,-0.00951903467744871,-0.023257270139597754,0.0051215899702171256,-5462.838452503603,573885.7602279219
61,holdout,7035,6753,282,5541,0.7257954371839599,0.7256775,-0.00011796050692741454,-0.016524861365621212,-0.03850615082756815,0.00445859606748663,-3614.6415180873128,218739.59715070983
62,dev,17746,16846,900,13639,0.7254320321241722,0.7242669,-0.0011651438420874397,-0.0032531929659441964,-0.017873723146562805,0.00953909611025093,-1863.234806688913,572740.3281004378
62,holdout,7036,6760,276,5507,0.7297736391447176,0.7305473,0.00077369813338892,-0.019767047381631327,-0.04230615518038817,0.0033272963949014644,-4335.765387710311,219343.0968218022
63,dev,17743,16871,872,13631,0.730027963989228,0.7302768,0.0002488423648707833,-0.005774121658589823,-0.020374488580711468,0.007802872343929043,-3319.753255206949,574936.4927682716
63,holdout,7037,6767,270,5543,0.7335963691529027,0.7337816,0.0001852179610325805,-0.017976394675640214,-0.039157898852255714,0.003783800355917461,-3903.3413701539453,217137.05337385353
64,dev,17740,16891,849,13718,0.7345435429828918,0.7338523,-0.0006911955789489381,0.00046493419480448143,-0.013857813986977108,0.014278585721710953,267.05200282578346,574386.6676403201
64,holdout,7036,6762,274,5570,0.7380262431913105,0.73706007,-0.0009662017834429839,-0.009151201393417525,-0.030711467402949055,0.012208560954146347,-1964.7485588240881,214698.42858417856
65,dev,17737,16920,817,13748,0.7397347772063525,0.7383865,-0.0013482523836574163,-0.001348041632637473,-0.014881858023907402,0.012210763420286284,-770.7658112673837,571767.0675788883
65,holdout,7035,6767,268,5604,0.7428154256291168,0.74124426,-0.0015711519480174378,-0.01018761295260425,-0.031106838307318266,0.011040091467080421,-2158.864471538852,211910.72742776142
66,dev,17735,16914,821,13736,0.7458093904736937,0.7432009,-0.002608491809864909,-0.00455108954374457,-0.01812137200999939,0.008249949498844398,-2605.65865076468,572535.1315809936
66,holdout,7032,6765,267,5571,0.7488585003221466,0.745085,-0.0037735040176381735,-0.006130573681697818,-0.02534123224513601,0.014384594644977291,-1322.6915661021599,215753.31033878872
67,dev,17735,16918,817,13718,0.7508228070082044,0.7491134,-0.0017094366334555757,-0.005502006967612152,-0.01799185900363483,0.006863484803987961,-3167.125884764144,575631.0203544986
67,holdout,7032,6759,273,5526,0.754306810267985,0.75048083,-0.003825969906984869,-0.007250007752623416,-0.028250820691185053,0.013560112039455294,-1584.3342475874142,218528.62805755233
68,dev,17733,16928,805,13788,0.7552483522722503,0.75454867,-0.0006996755236680558,-0.010139693219903014,-0.02425534980707446,0.0030185626868345587,-5798.8188579924845,571892.9293255232
68,holdout,7033,6769,264,5574,0.7588656456057686,0.7551337,-0.0037319478660729458,-0.01364504567868937,-0.033618625214957856,0.00617070187800726,-2952.733590114385,216396.02091812127
69,dev,17732,16959,773,13831,0.7611154951807589,0.76121825,0.00010273702632875485,-0.006529275562104866,-0.019402282482131,0.0060093616909723535,-3751.9539658128656,574635.5671659433
69,holdout,7033,6767,266,5580,0.764182948623113,0.75934684,-0.004836118417704354,-0.008758088931921516,-0.02905611691651937,0.010941948708586205,-1889.4656245973615,215739.48829300306
70,dev,17729,16961,768,13797,0.7663732799954251,0.76672953,0.00035627604490265195,-0.008109626074815465,-0.02016360215310555,0.004308550974766229,-4695.880057012188,579050.1329765744
70,holdout,7033,6772,261,5593,0.7692221873481107,0.76543117,-0.003791000106527618,-0.012470215078591468,-0.03248151742012579,0.0073566871127242065,-2707.681216600831,217131.8778013144
71,dev,17723,16963,760,13793,0.7730958545776511,0.77462715,0.0015312750574370667,-0.008153364679938612,-0.020513198306442673,0.0040352527388011076,-4764.882067936932,584406.8375429035
71,holdout,7033,6777,256,5661,0.7754852296777649,0.7742364,-0.0012488418955603796,-0.005936317258440839,-0.025696866919956617,0.013023353954469926,-1260.9243934714855,212408.5251135423
72,dev,17722,16972,750,13820,0.7791050412524654,0.78034407,0.0012390549059131083,-0.0019150138225323538,-0.013727625457399936,0.010068690019288258,-1119.7884399693874,584741.7009703956
72,holdout,7031,6780,251,5646,0.7821096716816798,0.7818584,-0.00025126460203378953,-0.0054952162106168935,-0.025371272128936792,0.01310979059821856,-1162.8247601638036,211606.73494833522
73,dev,17721,16986,735,13889,0.7852991973972708,0.7865595,0.0012603222071092821,-0.0018568063548083974,-0.014182549249112239,0.010433386415670964,-1077.1691307030678,580119.2611785412
73,holdout,7030,6782,248,5623,0.7880790657928228,0.78855795,0.00047888171528687136,-0.00917221698319314,-0.02807030988986291,0.00959790815447008,-1976.8415731152559,215524.94633931495
74,dev,17716,16988,728,13863,0.7917328291439522,0.79329526,0.0015624381035166347,0.002820002001728757,-0.009454776287694382,0.0139932959016406,1643.6921095722646,582869.128661833
74,holdout,7031,6786,245,5604,0.7937976425327525,0.79649276,0.002695136718647409,-0.007327014528808337,-0.02550297478715961,0.011950491755128767,-1581.910088163682,215901.04427170605
75,dev,17715,16996,719,13811,0.7976803940362048,0.79874676,0.0010663699082526972,-0.0030329516910935364,-0.014661751751730748,0.008331285950095338,-1785.5482159781109,588716.3390111001
75,holdout,7030,6775,255,5555,0.8005707384959359,0.8002952,-0.0002755355439062928,-0.015544835500579304,-0.033643519096239125,0.0021262050696835965,-3425.9775681701126,220393.29834287651
76,dev,17709,17008,701,13806,0.8054552974314311,0.80479777,-0.0006575551924846807,-0.004424751727230458,-0.015632599348532644,0.0067072880653088396,-2626.5637880565605,593607.0428296278
76,holdout,7031,6767,264,5540,0.8086106477142068,0.80907345,0.00046279694369189125,-0.0045114649870241896,-0.022674611857264937,0.012296031694018938,-1003.8810299801535,222517.74819653944
77,dev,17706,17004,702,13792,0.8115563460712684,0.81101507,-0.0005412907901580854,0.0006341763199104279,-0.010946458886108087,0.0116700950544899,377.620576953811,595450.4529704705
77,holdout,7032,6781,251,5516,0.8151337421497682,0.8131544,-0.001979340144164301,-0.014056185828992767,-0.03206280027691644,0.00256375114070979,-3187.1057704144896,226740.44077025907
78,dev,17704,17007,697,13723,0.8179643224545199,0.8174575,-0.0005068049617227776,-0.0019299157570730216,-0.012310324210981346,0.008973602616295004,-1168.4142091391504,605422.3894783923
78,holdout,7033,6774,259,5492,0.8216981533810316,0.8190139,-0.0026842767940814917,-0.018286465873079,-0.035413149452618864,-0.0018474330608286632,-4156.778392380709,227314.47515510593
79,dev,17700,17002,698,13680,0.8256930254269188,0.8252559,-0.000437173174242597,0.002103232800637962,-0.007945385686489108,0.012213257282320984,1284.0634349884565,610518.928099148
79,holdout,7033,6784,249,5534,0.8293073175163096,0.82805127,-0.0012560203464982926,-0.018898418311501585,-0.035387089460513686,-0.003586012217381315,-4297.003984201531,227373.7364352007
80,dev,17696,17030,666,13696,0.8326786230206139,0.8324134,-0.00026523488203497825,0.002351292507805279,-0.007954686468128191,0.012616150625606783,1437.2763838393416,611270.7708922657
80,holdout,7033,6769,264,5501,0.8351729904126868,0.8329886,-0.0021843658004840486,-0.009625113178491882,-0.025555132637106744,0.006016095273422763,-2206.6282902080297,229257.38630678385
81,dev,17694,17003,691,13625,0.8413545919554533,0.8415574,0.00020278027297706874,-0.004057768363284588,-0.013673830461935604,0.006228094951063784,-2503.140393513694,616876.117464603
81,holdout,7032,6782,250,5500,0.8435667691808891,0.84414625,0.0005795003561205795,-0.00712629314356174,-0.022108284732080447,0.008507958953128765,-1663.5767969703172,233442.09443212108
82,dev,17694,16995,699,13644,0.8481910564375822,0.8450721,-0.0031189764140458205,-0.009406782511549512,-0.019237901110951323,2.4397487345782203e-05,-5802.656580859329,616858.8009486677
82,holdout,7030,6759,271,5449,0.8503856998692605,0.8511614,0.0007757145411553053,-0.00803144763374563,-0.02240179493249176,0.0064521922472483475,-1871.4090830874013,233010.18302408222
83,dev,17691,16991,700,13579,0.8553211708271892,0.8518039,-0.00351727464685838,-0.008089374537497118,-0.017074580476202403,0.0013748773045633165,-5016.2341708353915,620101.609535245
