side,threshold,sport,period,signals,bets,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi,pnl_usd,in_play_share
favorite >= 60%,0.6,tennis,dev,3427,3347,0.7454712443345335,0.7502240538597107,0.004752809525177204,0.008146116553889596,-0.022918461097741996,0.03764167087530492,824.9786373899087,0.8503137137735285
favorite >= 60%,0.6,tennis,holdout,2579,2519,0.7363758562824091,0.7292576432228088,-0.0071182130596002535,-0.031303247709814665,-0.06953859816457347,0.003953177723822814,-2556.684360005921,0.8598650258038905
favorite >= 60%,0.6,tennis,all,6006,5866,0.7415654682514613,0.7412205934524536,-0.00034487479900768836,-0.00946559555660276,-0.03290292334043027,0.01470944562457353,-1731.7057226160127,0.8544152744630071
favorite >= 60%,0.6,esports,dev,2621,2528,0.7155791748008584,0.71875,0.0031708251991415803,-0.028922750044438426,-0.06436204506688777,0.005842072854166284,-2888.4944276369747,0.649129746835443
favorite >= 60%,0.6,esports,holdout,1329,1292,0.7027979864747531,0.693498432636261,-0.009299553838492125,-0.006833184947227514,-0.0592612026691915,0.04303593242505147,-323.38950903057867,0.6563467492260062
favorite >= 60%,0.6,esports,all,3950,3820,0.7112563226235474,0.7102094292640686,-0.0010468933594788288,-0.021820514641120944,-0.0519997015787372,0.0061794327468859675,-3211.883936667554,0.6515706806282723
favorite >= 60%,0.6,basketball,dev,2669,2586,0.7203044485810738,0.7122969627380371,-0.008007485843036677,-0.014036724048177327,-0.05357716386941401,0.021696714367327497,-1364.1813375519237,0.4319412219644238
favorite >= 60%,0.6,basketball,holdout,153,151,0.7307343660600928,0.748344361782074,0.017609995721981186,-0.04388196627659258,-0.189904507622655,0.09526133509067773,-223.6002766786054,0.8211920529801324
favorite >= 60%,0.6,basketball,all,2822,2737,0.7208798660232849,0.7142857313156128,-0.006594134707672117,-0.015523555711590687,-0.05391131849069456,0.020608423218201583,-1587.7816142305292,0.453416149068323
favorite >= 60%,0.6,american_football,dev,792,709,0.7087422541233649,0.6988716721534729,-0.00987058196989199,-0.013986224674823858,-0.0845066250169052,0.052189006361529205,-432.9661321254612,0.4203102961918195
favorite >= 60%,0.6,american_football,holdout,104,99,0.7213251699100841,0.691919207572937,-0.029405962337147096,-0.10075856292326726,-0.302079679248464,0.097003236704013,-366.5485641908417,0.7777777777777778
favorite >= 60%,0.6,american_football,all,896,808,0.7102839727655496,0.698019802570343,-0.012264170195206536,-0.023111033504206117,-0.08966195090144341,0.0428440694488055,-799.5146963163031,0.46410891089108913
favorite >= 60%,0.6,soccer,dev,3673,3248,0.7469019380127415,0.7490763664245605,0.0021744284118190293,-0.012096629678267894,-0.045010212784424554,0.0207525429753686,-1171.983020974842,0.5760467980295566
favorite >= 60%,0.6,soccer,holdout,1650,1471,0.7464052929532196,0.7430319786071777,-0.0033733143460418225,-0.06291613942199852,-0.11084311973124761,-0.018339092599562064,-3120.2691525426935,0.7362338545207342
favorite >= 60%,0.6,soccer,all,5323,4719,0.7467471245178152,0.7471922039985657,0.00044507948075045434,-0.029302813112965145,-0.05507409658981255,-0.0031432701767339253,-4292.252173517536,0.6259800805255351
favorite >= 60%,0.6,cricket,dev,265,260,0.7463692180239238,0.7346153855323792,-0.011753832491544602,0.01443378208479201,-0.0789406701582347,0.11115659281786033,151.19589312289952,0.8153846153846154
favorite >= 60%,0.6,cricket,holdout,115,115,0.7742389373157336,0.7956521511077881,0.02141321379205452,0.060285943312794896,-0.056537582345912385,0.17015546750130317,289.33196377550456,0.9652173913043478
favorite >= 60%,0.6,cricket,all,380,375,0.7549159319400788,0.753333330154419,-0.0015826017856598318,0.02884079967045437,-0.04734630307826539,0.10549462706106696,440.52785689840414,0.8613333333333333
favorite >= 60%,0.6,baseball,dev,2415,2361,0.6677398670153919,0.6543837189674377,-0.013356148047954153,-0.012070493584436525,-0.05474613505190668,0.03120986629102354,-989.6470114775346,0.8000847098686997
favorite >= 60%,0.6,baseball,holdout,969,959,0.6603852215536692,0.6757038831710815,0.015318661617412355,0.008146403223474197,-0.06864366600772684,0.0804410699517291,184.2585362688867,0.8477580813347236
