price_c,bets,p_win,cost_per_share,ev_per_share_c,ev_per_100usd,ci_lo,ci_hi
50,23743,0.49976834654808044,0.5075191259384155,-0.7750766817480326,-1.5123143596281652,-2.7627308267052015,-0.2384267726531455
51,22812,0.5032439231872559,0.5178918242454529,-1.4647913165390491,-2.8197869840309133,-4.047934669677527,-1.5820342076913747
52,23772,0.5064571499824524,0.5285277962684631,-2.207055874168873,-4.167635089916983,-5.370857712627608,-3.0531509572752356
53,24848,0.5147094130516052,0.5397126078605652,-2.500317245721817,-4.627628800778842,-5.748726610845458,-3.439952702518502
54,24736,0.5277935266494751,0.5490541458129883,-2.1260662004351616,-3.8738716999129097,-5.042931947756778,-2.7140318252513307
55,25694,0.5375379323959351,0.5585657358169556,-2.102775312960148,-3.7675700809177632,-4.837487902101537,-2.618087272167768
56,25988,0.5422695279121399,0.5686706900596619,-2.640119753777981,-4.634392320334554,-5.680084070628466,-3.5316503489807882
57,26190,0.5514318346977234,0.5783655643463135,-2.6933707296848297,-4.652079413180908,-5.675621086989432,-3.6555001131706377
58,26447,0.5583431124687195,0.5881942510604858,-2.9851187020540237,-5.066796978202782,-6.0986914992913075,-4.0544801500547765
59,26702,0.5718672871589661,0.5980428457260132,-2.617552876472473,-4.368544493265951,-5.355135161830155,-3.3712136550800804
60,27348,0.5822729468345642,0.6084046363830566,-2.613169327378273,-4.281597599306528,-5.260470097341894,-3.3543253723701656
61,26881,0.5942487120628357,0.6185279488563538,-2.427930012345314,-3.923211281458176,-4.872806191729665,-2.9547525673583435
62,27028,0.6010803580284119,0.6278000473976135,-2.6719650253653526,-4.251671194935385,-5.179725037304832,-3.3675403671683797
63,26684,0.6111901998519897,0.636343240737915,-2.5153031572699547,-3.9468655058101385,-4.902105584132839,-3.0217930409529785
64,27470,0.614324688911438,0.6472589373588562,-3.293416276574135,-5.091485864776761,-5.980296140141911,-4.154978359531488
65,28458,0.6263967752456665,0.658458411693573,-3.206159546971321,-4.862170026279131,-5.714527017912129,-3.9799839701365776
66,27885,0.6369732618331909,0.6690630912780762,-3.2089877873659134,-4.7852611889094465,-5.629680299140398,-3.9506922391499706
67,27489,0.6470952033996582,0.6780732870101929,-3.0978113412857056,-4.561836647568448,-5.411305006404953,-3.774899744586138
68,28061,0.6584761738777161,0.68767249584198,-2.9196303337812424,-4.24243750048739,-5.058405404118555,-3.4567935049659546
69,27936,0.6692439913749695,0.6966309547424316,-2.7386974543333054,-3.92270942238871,-4.6826553965500635,-3.1376191796430244
70,28876,0.6774311065673828,0.7067837715148926,-2.935273200273514,-4.1459138870387875,-4.9313872323977,-3.409391581416848
71,28932,0.6844670176506042,0.7178276181221008,-3.336065635085106,-4.637534551545988,-5.365044929509667,-3.9091779279903682
72,28788,0.6935181617736816,0.7277175784111023,-3.419940173625946,-4.691612281343151,-5.404089528560066,-3.994244449976845
73,28412,0.7024672627449036,0.736912727355957,-3.4445438534021378,-4.670490876656258,-5.376086415045667,-3.948159225176446
74,28304,0.7125494480133057,0.7456400394439697,-3.3090561628341675,-4.43725371896513,-5.1355563594756415,-3.7282586580045756
75,29637,0.7232513427734375,0.7562267780303955,-3.29754501581192,-4.355748895691865,-5.03302684124006,-3.6706576597200025
76,28466,0.7334364056587219,0.7658451199531555,-3.2408658415079117,-4.2270755878588995,-4.872288634492743,-3.5400483925797683
77,28808,0.7409573793411255,0.7756068110466003,-3.4649454057216644,-4.463348530855685,-5.126558147184461,-3.842156233840799
78,29535,0.7497884035110474,0.7862895131111145,-3.650112822651863,-4.636354215338445,-5.285769127050895,-4.031905491544051
79,28322,0.7664006948471069,0.7949485182762146,-2.854781039059162,-3.590304392659136,-4.1993301082013454,-2.9520227504701775
80,29947,0.7722810506820679,0.8052183985710144,-3.2937396317720413,-4.087717121678903,-4.6858407511547275,-3.4937640383901067
81,28689,0.7864860892295837,0.8151398301124573,-2.8653668239712715,-3.5136075686687933,-4.074108296334414,-2.905959769827728
82,29151,0.7949298620223999,0.8252453207969666,-3.0315469950437546,-3.6707746664012366,-4.230735303098164,-3.102941943251554
83,28548,0.8045572638511658,0.8346544504165649,-3.0097143724560738,-3.6039608768326437,-4.157475784363002,-3.0254512984880737
84,29828,0.8138493895530701,0.8453385829925537,-3.148917108774185,-3.722689944670749,-4.249872359581804,-3.1837313245464363
85,29838,0.826496422290802,0.8550339341163635,-2.8537509962916374,-3.3340021738662298,-3.847499360286967,-2.8223713746181107
86,28439,0.8357361555099487,0.8645681142807007,-2.8831958770751953,-3.332701538462458,-3.841437622325887,-2.8246413929296827
87,29094,0.8442977666854858,0.8743731379508972,-3.0075358226895332,-3.436792934738648,-3.93328605869129,-2.964454805861311
88,29158,0.8575690984725952,0.8842658996582031,-2.669678255915642,-3.0161962732064547,-3.4716107063366066,-2.5519064233896076
89,28848,0.8691763877868652,0.8935368061065674,-2.436039410531521,-2.7255678920801554,-3.1716994235182447,-2.294602477944972
90,31235,0.8815911412239075,0.9040231108665466,-2.2431978955864906,-2.480913796567222,-2.8873531135299517,-2.044475850547082
91,28163,0.8928025960922241,0.9137532114982605,-2.0950566977262497,-2.292458751467621,-2.6925809122918705,-1.8860067884550542
92,29313,0.9012383818626404,0.9230902791023254,-2.185194380581379,-2.3665690411992846,-2.7654409127212376,-1.9985639094958825
93,29452,0.9138428568840027,0.9331096410751343,-1.926671341061592,-2.0638123998686857,-2.418226077948185,-1.7077760766268089
94,29370,0.9244637489318848,0.9425938129425049,-1.8130142241716385,-1.9236750456044411,-2.263264241160403,-1.6042424631408123
95,30248,0.9362437129020691,0.9520710110664368,-1.5827357769012451,-1.6616567027038547,-1.971107750137914,-1.3709338365913215
96,29935,0.9487055540084839,0.9626414775848389,-1.3935954309999943,-1.447125178496866,-1.71202284710194,-1.1893264015214309
97,29630,0.9601248502731323,0.9720962047576904,-1.1971326544880867,-1.2316799453053269,-1.4607305815346312,-0.9979113921633096
98,32128,0.9715512990951538,0.9821178913116455,-1.056668907403946,-1.0763708651544706,-1.2594456227842201,-0.8921953125118388
99,32969,0.983454167842865,0.9913090467453003,-0.7854998111724854,-0.7927314232156719,-0.9335821429014031,-0.655400830281
