family,games,avg_fav_price,fav_win_rate,gap_win_minus_price,roi_no_fee_no_slip,roi_no_fee_ci,roi_actual_fee_1c,roi_5pct_fee_1c,roi_5pct_ci,pnl_$100_per_game_actual_fee,fav_roi_at_ask_actual_fee,fav_unfilled,fav_proxy_stake_usd,fav_full_100_fills,fav_partial_proxy_roi,fav_at_ask_ci,underdog_roi_at_ask_actual_fee,dog_unfilled,underdog_at_ask_ci
american_football,805,0.6813600505883851,0.6838509316770186,0.0024908810886334898,0.004182619655462701,-0.044..+0.052,-0.011830044686650366,-0.025795858905020105,-0.072..+0.021,-952.3185972753545,0.000767955970820789,23,44864.29209384775,354,0.03352374475134158,-0.051..+0.049,-0.040335337424767255,43,-0.153..+0.076
baseball,2123,0.5750385971183467,0.5496938294865756,-0.02534476763177107,-0.04550254046145577,-0.084..-0.007,-0.07074051794968798,-0.08096289576613089,-0.118..-0.044,-15018.21196071876,-0.06160109642408818,48,94230.48416626065,641,-0.07457124282056864,-0.099..-0.024,0.022796515807738355,61,-0.029..+0.070
basketball,2429,0.6841556459819679,0.6850555784273363,0.0008999324453684565,0.000942762024991097,-0.028..+0.031,-0.015339961906355304,-0.02869085214209275,-0.056..+0.000,-3726.0767470537035,-0.010902452379776465,40,108022.02720626921,723,-0.006495426722883098,-0.039..+0.018,-0.03773462236010546,54,-0.102..+0.028
cricket,154,0.655430764151948,0.6525974025974026,-0.0028333615545453883,-0.005709362645429759,-0.127..+0.111,-0.02822738822583747,-0.03724522303040442,-0.154..+0.075,-434.701778677897,-0.030616403168470026,3,5732.792764534233,30,-0.012946191733131005,-0.148..+0.082,-0.10104268347493803,3,-0.313..+0.156
esports,2840,0.6616431204405634,0.6538732394366197,-0.007769881003943713,-0.013361393849051615,-0.040..+0.013,-0.03689860036057837,-0.04402989786751247,-0.070..-0.019,-10479.202502404258,-0.030999789521243333,67,116883.04569724636,756,-0.030680563622414718,-0.058..-0.004,0.005525502194537252,84,-0.061..+0.074
hockey,1539,0.5884289278956465,0.5705003248862898,-0.017928603009356725,-0.03243080869836024,-0.076..+0.010,-0.04937715134678701,-0.06742419028329709,-0.109..-0.027,-7599.1435922705205,-0.03950054476173804,42,58174.70884004551,382,-0.05718223031075909,-0.081..+0.003,0.01508653931201022,69,-0.047..+0.075
mma_boxing,158,0.6503670940575951,0.6044303797468354,-0.04593671431075963,-0.07279313188703608,-0.194..+0.048,-0.09292599894953352,-0.10227422688293997,-0.219..+0.014,-1468.2307834026296,-0.08757112858417404,11,5223.549313784818,32,-0.1643218224887227,-0.207..+0.032,0.1672539619343077,15,-0.078..+0.430
other,47,0.5892295100489363,0.6595744680851063,0.07034495803617002,0.11599521177053851,-0.135..+0.351,0.09599478448071724,0.07509004436582004,-0.166..+0.299,451.17548705937105,0.1089796127660717,0,1898.9353419879887,11,0.30135985095453294,-0.141..+0.344,0.01526965562053284,0,
soccer,2766,0.5560904591778019,0.5524222704266089,-0.0036681887511930134,-0.00760452043373547,-0.044..+0.029,-0.035511917778759734,-0.04687074030009263,-0.082..-0.012,-9822.596457604943,-0.024966158647052532,32,101137.73356084013,605,-0.034914065695589296,-0.060..+0.011,-0.013486492286777325,0,
tennis,1936,0.6762469774527118,0.6691632231404959,-0.007083754312215862,-0.012246447746557039,-0.045..+0.020,-0.03653052018181252,-0.04199920458383795,-0.073..-0.011,-7072.308707198904,-0.03287056174229607,89,76918.08173165085,519,-0.03188786006828149,-0.066..-0.001,-0.01562731739843661,141,-0.098..+0.071
