inning,lead,n,mkt_mean,mkt_std,mkt_p10,mkt_p90,actual_win,edge_actual_minus_mkt,residual_ci_lo,residual_ci_hi,baseline_win
2,1,1012,0.6117551938478261,0.09740899552555418,0.4899999561,0.73,0.6116600790513834,-9.511479644264131e-05,-0.029971453390074114,0.030680650020251967,0.617120836774016
2,2,451,0.7128464781911308,0.09233587266496802,0.59,0.8295803299,0.7317073170731707,0.018860838882039932,-0.022739426280271622,0.058895266149406864,0.733139534883721
2,3,245,0.7958871899555101,0.07076556367257796,0.7,0.88,0.8163265306122449,0.020439340656734806,-0.029390268552775514,0.0699788877457653,0.8214716525934861
2,4,80,0.85673054869625,0.054743782553746866,0.78950611799,0.92,0.85,-0.006730548696250005,-0.09629821437884377,0.07086585894393749,0.8644578313253012
2,5,31,0.9003328821387097,0.041353728576367085,0.84,0.94,0.8709677419354839,-0.02936514020322578,-0.15643235981814518,0.07166957205540313,0.8661417322834646
2,6,24,0.9424635575874999,0.03751389291806888,0.89598655913,0.9784999999999999,0.9583333333333334,0.01586977574583348,-0.07364213959729164,0.06841526964833332,0.9204545454545454
3,1,1146,0.6231030758287958,0.09234504003509672,0.50999994875,0.73999995655,0.6195462478184991,-0.0035568280102966643,-0.031656758665152704,0.0244482295440445,0.6304547542489665
3,2,601,0.7280949911695508,0.08108172839647673,0.63,0.83,0.7554076539101497,0.02731266274059896,-0.006960336738760397,0.06131982696831113,0.7487373737373737
3,3,321,0.810559716671651,0.06737067185588537,0.72,0.9,0.8006230529595015,-0.009936663712149518,-0.054300401926261684,0.031604733274820856,0.8097784568372803
3,4,155,0.8763995361038709,0.04926375101207314,0.8100000470000001,0.93,0.8709677419354839,-0.005431794168387016,-0.0597043530126129,0.04539311673377416,0.875195007800312
3,5,101,0.9133460501653465,0.04096943018399388,0.870000002,0.96,0.9702970297029703,0.056950979537623736,0.021590531402772273,0.08596932317180694,0.9365994236311239
3,6,99,0.9503059407989898,0.023086878341549658,0.92,0.98,0.9595959595959596,0.009290018796969779,-0.0319273250995707,0.04304951133343437,0.947945205479452
4,1,1103,0.6302234433610154,0.08267813643605346,0.52000000074,0.73,0.6101541251133273,-0.020069318247688095,-0.050290682342477334,0.007952551578542582,0.6379228203906622
4,2,676,0.739429416114497,0.07989574948368025,0.64,0.84,0.7485207100591716,0.009091293944674672,-0.022256618476346156,0.04231673377862423,0.7577526450200657
4,3,430,0.8296432302086046,0.05942725757361481,0.75,0.9,0.813953488372093,-0.015689741836511617,-0.054383548581639525,0.019594097961017437,0.830607476635514
4,4,243,0.8908546931016461,0.04251542411606636,0.83,0.9399999954799999,0.8930041152263375,0.0021494221246913803,-0.03811705408073044,0.04126728632542179,0.9017175572519084
4,5,159,0.9321806995421383,0.029120234556944548,0.9,0.96231918804,0.9433962264150944,0.011215526872956016,-0.025189774518836458,0.04426710434533018,0.9197207678883071
4,6,161,0.956277677221118,0.022478551149763215,0.93,0.986,0.968944099378882,0.012666422157764035,-0.01824972901467389,0.03710369875057454,0.9689349112426036
5,1,1044,0.6450165126294062,0.07880403493957285,0.54869950646,0.7487918652600002,0.6599616858237548,0.014945173194348627,-0.013511147729693489,0.042529702135984164,0.6692793931731985
5,2,724,0.7627487960284529,0.06915409557429925,0.6700001072999999,0.8431478439300002,0.7707182320441989,0.007969436015745957,-0.02305366840963398,0.03960089902682319,0.775567190226876
5,3,425,0.8471041283691765,0.06856548450804728,0.78,0.91000002406,0.8235294117647058,-0.023574716604470636,-0.06020616990024706,0.012007712984458822,0.8510301109350238
5,4,301,0.9087762218581396,0.034120819591426585,0.8600000038,0.95,0.9401993355481728,0.031423113690033255,0.0025551436258887056,0.05824512383716776,0.9249174917491749
5,5,185,0.9404712061216216,0.025872473164617726,0.91,0.97,0.9243243243243243,-0.016146881797297286,-0.05549050066556755,0.019422743014783743,0.9215155615696887
5,6,250,0.9686507775100001,0.03352315370247434,0.95,0.99,0.984,0.015349222489999925,-0.00014795382790998453,0.027852499064870008,0.990036231884058
6,1,934,0.6636346531335118,0.08055796570230635,0.57,0.76,0.6573875802997858,-0.006247072833725942,-0.037148455538972155,0.02339084274793628,0.6783609317990458
6,2,710,0.7879381453622535,0.06282320313609724,0.70461353923,0.86000000112,0.8112676056338028,0.023329460271549363,-0.006147161874739436,0.0509924537570352,0.803169014084507
6,3,499,0.8660768784146293,0.05215643219363608,0.8,0.92,0.8817635270541082,0.015686648639478884,-0.013678192697354711,0.04302364262275049,0.876984126984127
6,4,360,0.9272544600905556,0.02687495954122148,0.89,0.96,0.9388888888888889,0.011634428798333318,-0.01277731711274999,0.03536874962749997,0.9287288758265981
6,5,253,0.9512081911486165,0.020389195317271326,0.9299999770199999,0.9716956529,0.9486166007905138,-0.0025915903581027466,-0.031748838122697624,0.02151569902924903,0.9607032057911065
6,6,278,0.974832655957554,0.021181163379056924,0.95004933775,0.99229999568,0.9856115107913669,0.010778854833812912,-0.00469117954401977,0.02315515655516188,0.988296488946684
7,1,858,0.6995914687413753,0.07643948815845084,0.5900000790100001,0.7900000305,0.7132867132867133,0.013695244545337992,-0.017588031785958625,0.043726883050349635,0.7110379898294945
7,2,708,0.8208083598132768,0.06163976638976123,0.7400000210000001,0.89,0.8545197740112994,0.03371141419802259,0.006505529551747881,0.05792761250497526,0.8431015653440116
7,3,511,0.8974140318812134,0.04005619925870249,0.84,0.94,0.9099804305283757,0.012566398647162358,-0.012450506518502939,0.03736363550386007,0.9106529209621993
7,4,389,0.9414720965699229,0.0257510353146158,0.91,0.96999999818,0.961439588688946,0.019967492119023045,0.0009237994963046492,0.03802065686488433,0.9515190691661279
7,5,260,0.9642175942853846,0.018620319579495684,0.94,0.98001483009,0.9653846153846154,0.001167021099230836,-0.024497212548778822,0.021259401036067323,0.9794117647058823
7,6,313,0.9797053735987221,0.02888238034583241,0.96201014456,0.99396813802,0.9840255591054313,0.0043201855067092065,-0.01069473645849839,0.01707315478483227,0.9923273657289002
8,1,838,0.7489004419398568,0.07019359515406125,0.66,0.83,0.7613365155131265,0.012436073573269701,-0.016848151897413486,0.03989529188324283,0.7581741663968922
8,2,698,0.8690592307137536,0.04982547633490182,0.8,0.92,0.8681948424068768,-0.00086438830687674,-0.026990500393169775,0.022900514347539386,0.8806376360808709
8,3,525,0.9295249457447619,0.03232280643782896,0.89,0.96,0.9504761904761905,0.02095124473142862,0.0013665093113809635,0.0378814017293857,0.9463846532218396
8,4,385,0.9585075044555843,0.030301981164800148,0.93,0.98,0.9662337662337662,0.00772626177818192,-0.01203530524014284,0.02506498485493508,0.9708306911857958
8,5,250,0.9761787987188,0.016900411679562827,0.96,0.99,0.992,0.015821201281200015,0.0023386147085900123,0.024994161662980015,0.9844155844155844
8,6,302,0.9869134217215232,0.008156274755679815,0.97747066092,0.994,0.9933774834437086,0.006464061722185388,-0.003697886513485092,0.013500092980836095,0.9970513900589723
9,1,792,0.8295882578925505,0.0713250452979068,0.73945633616,0.9,0.8547979797979798,0.02520972190542925,0.0003210913077241153,0.04879445575324808,0.855118668083599
9,2,665,0.9205031170472181,0.042461048551443364,0.87,0.96,0.924812030075188,0.004308913027969874,-0.01651605644375939,0.023903921142150366,0.9347385488447507
9,3,529,0.9602972211015123,0.032718863251741476,0.93,0.98799984688,0.9792060491493384,0.01890882804782612,0.005818888919692832,0.03049434467449434,0.9798285426122038
9,4,329,0.9788661263699088,0.016433606166279372,0.96,0.991,0.9908814589665653,0.012015332596656547,-9.333990712005066e-05,0.02103666603515958,0.9908031882280809
9,5,210,0.9868108268842858,0.009064192503163147,0.9788994990300001,0.994,1.0,0.013189173115714214,0.0119770655049762,0.014468028673964291,0.995253164556962
9,6,160,0.9906904808637499,0.004751673334115202,0.98688072727,0.995,0.9875,-0.003190480863749845,-0.022095508003140616,0.009617801640296884,0.9985642498205313
