model,period,rule,cost,signals,bets,unfilled,partial,roi,ci_lo,ci_hi,capital_usd,pnl_usd,win,avg_q,avg_fee_rate,first_print_usd,window_cap_usd,median_window_cap_usd
frozen_round1,dev,primary_thr0.04,fee,109,109,0,96.0,0.6419,-0.3319,1.9539,2381.569227082405,1528.8421593836197,0.3394495412844037,0.24839029357798165,0.018715596330275225,9477.2767292012,9477.2767292012,6.6
frozen_round1,dev,primary_thr0.04,fee_plus_1c,109,109,0,94.0,0.5175,-0.3499,1.6515,2419.945114422844,1252.322215032731,0.3394495412844037,0.24839029357798165,0.018715596330275225,9477.2767292012,9477.2767292012,6.6
frozen_round1,dev,a_thr0.03,fee,153,153,0,136.0,0.4859,-0.253,1.5121,3182.3062107963096,1546.4082283958019,0.3137254901960784,0.24601103267973862,0.019803921568627453,10540.821271062803,10540.821271062803,5.67
frozen_round1,dev,a_thr0.03,fee_plus_1c,153,153,0,134.0,0.3832,-0.2763,1.2732,3238.241878036887,1240.7987801977606,0.3137254901960784,0.24601103267973862,0.019803921568627453,10540.821271062803,10540.821271062803,5.67
frozen_round1,dev,a_thr0.06,fee,43,43,0,40.0,0.4982,-0.362,1.4697,758.1145437224749,377.6856651329342,0.4418604651162791,0.2520311395348837,0.01744186046511628,2373.5006697494696,2373.5006697494696,5.8
frozen_round1,dev,a_thr0.06,fee_plus_1c,43,43,0,39.0,0.4424,-0.3777,1.3688,772.7107740142964,341.8643301920165,0.4418604651162791,0.2520311395348837,0.01744186046511628,2373.5006697494696,2373.5006697494696,5.8
frozen_round1,dev,b_mirror_buyL_thr0.04,fee,376,376,0,305.0,0.031,-0.0792,0.1424,12890.236447505438,399.3087439792333,0.6835106382978723,0.6280050691489362,0.018271276595744682,95069.48923325827,95069.48923325827,13.71999984741211
frozen_round1,dev,b_mirror_buyL_thr0.04,fee_plus_1c,376,376,0,301.0,0.016,-0.0923,0.125,12982.146364754222,207.56252495754796,0.6835106382978723,0.6280050691489362,0.018271276595744682,95069.48923325827,95069.48923325827,13.71999984741211
frozen_round1,dev,d_placebo_buyT,fee,413,412,1,350.0,-0.2832,-0.471,-0.0771,11804.63876084961,-3342.8938079375307,0.24514563106796117,0.2911103373786408,0.019150485436893204,100772.05116829464,100772.05116829464,9.999998168945313
frozen_round1,dev,d_placebo_buyT,fee_plus_1c,413,412,1,344.0,-0.309,-0.4875,-0.1116,12025.154716001824,-3716.148810872242,0.24514563106796117,0.2911103373786408,0.019150485436893204,100772.05116829464,100772.05116829464,9.999998168945313
frozen_round1,dev,d_placebo_mirror_buyL,fee,16,16,0,14.0,-0.1454,-0.8341,0.3884,374.26704208167274,-54.40596773889955,0.5,0.5808166875,0.016875,1358.731194924019,1358.731194924019,8.444998683929445
frozen_round1,dev,d_placebo_mirror_buyL,fee_plus_1c,16,16,0,14.0,-0.1575,-0.8359,0.3659,377.4965212586564,-59.44967181711249,0.5,0.5808166875,0.016875,1358.731194924019,1358.731194924019,8.444998683929445
frozen_round1,dev,x_crossfit_primary,fee,103,103,0,91.0,0.1843,-0.7543,1.6863,2204.574779856123,406.31598172068874,0.21359223300970873,0.25189227184466023,0.02097087378640776,5543.363573695493,5543.363573695493,5.8
frozen_round1,dev,x_crossfit_primary,fee_plus_1c,103,103,0,89.0,0.0695,-0.7607,1.3496,2240.054203695148,155.60680146332925,0.21359223300970873,0.25189227184466023,0.02097087378640776,5543.363573695493,5543.363573695493,5.8
frozen_round1,dev,x_crossfit_mirror,fee,381,381,0,309.0,-0.0106,-0.1223,0.1011,12956.787680794023,-137.05869999331068,0.6614173228346457,0.6368443648293963,0.01811023622047244,96037.0253392809,96037.0253392809,14.6
frozen_round1,dev,x_crossfit_mirror,fee_plus_1c,381,381,0,305.0,-0.0247,-0.1347,0.0853,13046.925822587777,-322.116886118602,0.6614173228346457,0.6368443648293963,0.01811023622047244,96037.0253392809,96037.0253392809,14.6
frozen_round1,dev,x_all_trailers_no_signal,fee,1199,1197,2,1079.0,-0.1964,-0.3482,-0.0181,26204.528602961822,-5146.382115014447,0.21804511278195488,0.2514806215538847,0.019498746867167918,127737.69104016424,127737.69104016424,6.100002
frozen_round1,dev,x_all_trailers_no_signal,fee_plus_1c,1199,1197,2,1063.0,-0.2339,-0.3758,-0.0729,26881.387803247217,-6288.847355824002,0.21804511278195488,0.2514806215538847,0.019498746867167918,127737.69104016424,127737.69104016424,6.100002
frozen_round1,dev,x_all_leaders_no_signal,fee,1199,1198,1,948.0,0.0267,-0.0189,0.0721,43732.50452591955,1169.2801902388333,0.7821368948247078,0.7600627729549249,0.01950751252086811,242021.67227126393,242021.67227126393,16.342105808258058
frozen_round1,dev,x_all_leaders_no_signal,fee_plus_1c,1199,1196,3,936.0,0.0138,-0.0313,0.0583,43775.13304382201,604.6971049786321,0.7817725752508361,0.7596765903010034,0.019489966555183945,241411.57466762626,241411.57466762626,16.273660278320314
frozen_round1,dev,s_primary_entry_next_print_nocap,fee,109,109,0,96.0,0.6419,-0.3319,1.9539,2381.569227082405,1528.8421593836197,0.3394495412844037,0.24839029357798165,0.018715596330275225,9477.2767292012,9477.2767292012,6.6
frozen_round1,dev,s_primary_entry_next_print_nocap,fee_plus_1c,109,109,0,94.0,0.5175,-0.3499,1.6515,2419.945114422844,1252.322215032731,0.3394495412844037,0.24839029357798165,0.018715596330275225,9477.2767292012,9477.2767292012,6.6
frozen_round1,dev,s_primary_entry_quote_all,fee,109,0,109,0.0,,,,0.0,0.0,,,,0.0,0.0,
frozen_round1,dev,s_primary_entry_quote_all,fee_plus_1c,109,0,109,0.0,,,,0.0,0.0,,,,0.0,0.0,
frozen_round1,dev,s_mirror_entry_next_print_nocap,fee,376,376,0,305.0,0.031,-0.0792,0.1424,12890.236447505438,399.3087439792333,0.6835106382978723,0.6280050691489362,0.018271276595744682,95069.48923325827,95069.48923325827,13.71999984741211
frozen_round1,dev,s_mirror_entry_next_print_nocap,fee_plus_1c,376,376,0,301.0,0.016,-0.0923,0.125,12982.146364754222,207.56252495754796,0.6835106382978723,0.6280050691489362,0.018271276595744682,95069.48923325827,95069.48923325827,13.71999984741211
frozen_round1,dev,s_mirror_entry_quote_all,fee,376,0,376,0.0,,,,0.0,0.0,,,,0.0,0.0,
frozen_round1,dev,s_mirror_entry_quote_all,fee_plus_1c,376,0,376,0.0,,,,0.0,0.0,,,,0.0,0.0,
frozen_round1,holdout,primary_thr0.04,fee,60,59,1,53.0,-0.1787,-0.7348,0.4613,1235.6862356366253,-220.84230643673303,0.22033898305084745,0.21796906779661016,0.04796610169491524,9077.596051775548,9077.596051775548,6.8699994564056395
frozen_round1,holdout,primary_thr0.04,fee_plus_1c,60,59,1,53.0,-0.2137,-0.7401,0.4006,1269.3815566256676,-271.3256135480677,0.22033898305084745,0.21796906779661016,0.04796610169491524,9077.596051775548,9077.596051775548,6.8699994564056395
