model_edge_at_least,buy,signals,n,unfilled,partial,avg_price,actual_win_rate,capital_usd,pnl_usd,roi_after_fees_1c,ci95
0.02,leader,2020,1957,63,1675,0.7171745336260603,0.71486969851814,50669.411480597715,990.9587194941043,0.019557336281151826,-0.026..+0.065
0.02,trailer,1482,1430,52,1309,0.28714016484958044,0.27342657342657345,26157.9719774938,-3049.747068647748,-0.11658958390473607,-0.273..+0.050
0.03,leader,1896,1837,59,1563,0.7172184956098531,0.7142079477408819,48181.54100918511,650.9915128604408,0.013511222331729461,-0.033..+0.063
0.03,trailer,1117,1087,30,1004,0.28340658679503217,0.2594296228150874,19298.41538689728,-2329.3763573108977,-0.12070298574319398,-0.296..+0.059
0.05,leader,1525,1484,41,1262,0.7177539488878031,0.7190026954177897,39669.5888638366,1712.7232480623554,0.043174716378865725,-0.008..+0.098
0.05,trailer,531,521,10,488,0.2826849428,0.2783109404990403,9068.388974627183,-963.5301554095381,-0.10625152473117759,-0.332..+0.134
0.08,leader,891,875,16,759,0.7205941217866285,0.7108571428571429,21326.395321868767,1394.0988174155668,0.06536964153459227,+0.001..+0.129
0.08,trailer,156,151,5,144,0.29450186382450333,0.2913907284768212,2161.0562101353917,265.8473856698879,0.12301733958749383,-0.329..+0.598
0.1,leader,580,572,8,493,0.721146875754895,0.708041958041958,14304.44172357941,-82.02141937953732,-0.005733982560419215,-0.092..+0.085
0.1,trailer,78,76,2,71,0.31465473982236847,0.3026315789473684,1252.0524500943845,-70.68088228910524,-0.056452013878314,-0.658..+0.563
