discount_at_least,bets,hist_win_rate,signals,n,unfilled,partial,avg_price,actual_win_rate,capital_usd,pnl_usd,roi_after_fees_1c,ci95
0.0,first signal per game,0.7296458975975726,4086,3443,643,2722,0.7042611335943944,0.7031658437409236,115306.07526096673,-840.1127539832787,-0.00728593660032129,-0.043..+0.028
0.0,every signal;100 inclusive-dollar event cap,0.8001797322328681,21406,10672,10734,9859,0.7458626828407984,0.7417541229385307,300970.3887127951,74.85064893855088,0.0002486977182661617,-0.020..+0.020
0.02,first signal per game,0.7261624125598946,3553,3045,508,2415,0.6941639543303776,0.6991789819376026,102056.7065539191,77.84574085349152,0.0007627694786756977,-0.036..+0.038
0.02,every signal;100 inclusive-dollar event cap,0.7716936898550734,14131,8148,5983,7457,0.7190011986028473,0.7195630829651448,231120.28152973804,1190.2635313456954,0.005149974391981457,-0.020..+0.031
0.03,first signal per game,0.7240807713271242,3267,2824,443,2237,0.6885161804687323,0.6929886685552408,94351.83393622396,399.65164185605954,0.004235759128181861,-0.039..+0.043
0.03,every signal;100 inclusive-dollar event cap,0.7599925904497367,11595,6981,4614,6342,0.7044447997307836,0.7066322876378742,200149.72855035693,2291.8954766760644,0.01145090474654045,-0.016..+0.039
0.05,first signal per game,0.7217504512407307,2723,2350,373,1843,0.6771244144990638,0.685531914893617,80472.183674936,2638.882121070813,0.03279247561779194,-0.011..+0.076
0.05,every signal;100 inclusive-dollar event cap,0.7454964400831126,8046,5086,2960,4535,0.68065250893372,0.6861974046401887,150391.55329145602,3013.07385543053,0.02003486093126021,-0.014..+0.053
0.08,first signal per game,0.7206477326303949,1916,1651,265,1311,0.66118922241914,0.6735311932162326,55252.60417481436,2732.4154029116144,0.04945315146172103,-0.004..+0.103
0.08,every signal;100 inclusive-dollar event cap,0.7328077199677878,4566,3092,1474,2722,0.6557918924820828,0.658150064683053,92929.15567895284,2621.3711594692822,0.028208274790803747,-0.014..+0.073
0.1,first signal per game,0.7208656878370799,1426,1229,197,984,0.6498571426303499,0.6663954434499593,40559.49402633146,2969.813145267093,0.07322115861058506,+0.010..+0.135
0.1,every signal;100 inclusive-dollar event cap,0.7258003986648883,3049,2130,919,1865,0.6383549555821596,0.639906103286385,64806.52570862607,3056.8824822109777,0.047169362171255724,-0.011..+0.099
