sport,threshold,games,roi_after_fees,ci95
american_football,>= 50%,782,0.03352374475134158,-0.025..+0.093
american_football,>= 55%,676,0.01899051413276555,-0.043..+0.079
american_football,>= 60%,547,0.015925995198207168,-0.046..+0.077
american_football,>= 65%,415,0.021715111254291687,-0.042..+0.083
american_football,>= 70%,328,0.04925471355623837,-0.012..+0.107
american_football,>= 75%,239,0.024740355807354245,-0.047..+0.089
american_football,>= 80%,141,0.04634847404896456,-0.028..+0.109
american_football,>= 85%,82,0.06785587125199331,-0.001..+0.115
american_football,>= 90%,39,0.018453858486439267,-0.084..+0.077
baseball,>= 50%,2075,-0.07457124282056864,-0.127..-0.025
baseball,>= 55%,1287,-0.08020775059651684,-0.139..-0.023
baseball,>= 60%,610,-0.026462560199888026,-0.106..+0.046
baseball,>= 65%,231,0.011866719082866519,-0.097..+0.116
baseball,>= 70%,81,0.03457449178853293,-0.126..+0.187
basketball,>= 50%,2389,-0.006495426722883098,-0.044..+0.031
basketball,>= 55%,2050,0.002230138173747835,-0.035..+0.039
basketball,>= 60%,1689,-0.014361199997707807,-0.053..+0.024
basketball,>= 65%,1326,-0.010708253815874804,-0.053..+0.028
basketball,>= 70%,1008,0.0006959870864462939,-0.040..+0.040
basketball,>= 75%,751,0.007971725945483284,-0.036..+0.050
basketball,>= 80%,526,0.013467230381734632,-0.034..+0.056
basketball,>= 85%,287,0.03866219671407333,-0.007..+0.082
basketball,>= 90%,109,0.051996915225478106,+0.000..+0.080
cricket,>= 50%,151,-0.012946191733131005,-0.179..+0.140
cricket,>= 55%,111,-0.057742419493387494,-0.221..+0.096
cricket,>= 60%,78,-0.015154915479753768,-0.174..+0.125
cricket,>= 65%,56,0.05777120135331142,-0.101..+0.183
cricket,>= 70%,44,0.0680154926396313,-0.059..+0.169
cricket,>= 75%,36,0.012578736426793248,-0.137..+0.116
cricket,>= 80%,31,0.009790997843573936,-0.148..+0.118
esports,>= 50%,2772,-0.03074180477885134,-0.068..+0.006
esports,>= 55%,2273,-0.012238426608634678,-0.049..+0.027
esports,>= 60%,1765,-0.014159781914445358,-0.055..+0.024
esports,>= 65%,1316,-0.01578217946783195,-0.059..+0.025
esports,>= 70%,940,-0.03400014504869657,-0.081..+0.015
esports,>= 75%,647,-0.026698783580268618,-0.079..+0.020
esports,>= 80%,420,-0.01652504882559431,-0.075..+0.034
esports,>= 85%,232,-0.03845387371201149,-0.102..+0.021
esports,>= 90%,93,0.018786385786970904,-0.054..+0.072
hockey,>= 50%,1497,-0.05718223031075909,-0.119..+0.005
hockey,>= 55%,1011,-0.06237637479185126,-0.134..+0.008
hockey,>= 60%,554,-0.02249239081910516,-0.111..+0.070
hockey,>= 65%,236,-0.010347144838168938,-0.130..+0.101
hockey,>= 70%,114,0.02445799548282499,-0.131..+0.151
hockey,>= 75%,46,0.11337826070037303,-0.037..+0.215
mma_boxing,>= 50%,147,-0.1643218224887227,-0.341..+0.010
mma_boxing,>= 55%,115,-0.1307856127732655,-0.319..+0.053
mma_boxing,>= 60%,89,-0.1183032238126396,-0.325..+0.073
mma_boxing,>= 65%,66,-0.11133375493058077,-0.332..+0.091
mma_boxing,>= 70%,50,-0.11299123258932654,-0.338..+0.097
mma_boxing,>= 75%,30,-0.16586550680287476,-0.442..+0.080
other,>= 50%,34,0.0879822758424812,-0.217..+0.376
soccer,>= 50%,1652,-0.032510954395744036,-0.082..+0.019
soccer,>= 55%,1231,-0.025358798434277782,-0.076..+0.029
soccer,>= 60%,910,-4.517250740102299e-05,-0.054..+0.057
soccer,>= 65%,650,0.014590722284234156,-0.042..+0.069
soccer,>= 70%,487,0.010721530144135223,-0.051..+0.068
soccer,>= 75%,333,-0.012926938726785799,-0.077..+0.050
soccer,>= 80%,225,0.025878789324618033,-0.040..+0.085
soccer,>= 85%,124,0.0179827634275038,-0.057..+0.082
soccer,>= 90%,57,-0.008302738952060535,-0.098..+0.059
tennis,>= 50%,1847,-0.03188786006828149,-0.078..+0.012
tennis,>= 55%,1560,-0.028855832264894746,-0.076..+0.017
tennis,>= 60%,1229,-0.027957012949950805,-0.072..+0.017
tennis,>= 65%,924,-0.04161529563411749,-0.093..+0.008
tennis,>= 70%,698,-0.033114078118752874,-0.084..+0.016
tennis,>= 75%,516,-0.0387810296204888,-0.098..+0.012
tennis,>= 80%,364,-0.013491127319606463,-0.069..+0.040
tennis,>= 85%,215,0.02055729549336356,-0.033..+0.067
tennis,>= 90%,123,0.015389706006630735,-0.043..+0.058
