dec,wallets,p1_z_median,p1_roi,p2_roi,p2_roi_net_fee,family
1,708.0,-1.8778403877695327,-0.10583952904119667,-0.007655006993957081,-0.012996486241255859,ALL
2,708.0,-1.187469736385339,-0.0774129758375899,0.020036556916782536,0.010003100818806976,ALL
3,707.0,-0.788133046658893,-0.05909544777109358,-0.016359776547933528,-0.023074370566418437,ALL
4,708.0,-0.4926152047441752,-0.03763665484584977,0.017993687815334062,0.013853514702593342,ALL
5,707.0,-0.21169013776203136,-0.015132108413914398,0.006822307652189559,0.0021220290151184214,ALL
6,708.0,0.058299906063749546,0.0054961253718649825,-0.0018251551494970599,-0.006810541592220851,ALL
7,707.0,0.3389994481689509,0.02340137239280649,0.010321526163366962,0.0060613643572103365,ALL
8,708.0,0.672047482995157,0.04366697709285045,0.015009049977136184,0.01054304838894814,ALL
9,707.0,1.1093014669515522,0.08752665972996812,-0.0027772453314294674,-0.007582909737048957,ALL
10,708.0,1.9303930520783918,0.07920306494918691,0.02532119813723994,0.018422136947697988,ALL
1,120.0,-1.6441468468328155,-0.1691411621739552,-0.003119557672180492,-0.0071382774364668776,soccer
2,119.0,-0.8869597049397133,-0.16955744826087288,0.016774077926718065,0.010218760093756338,soccer
3,120.0,-0.5107318009919376,-0.05239161190014384,0.001411478695765852,-0.0016654427165672082,soccer
4,119.0,-0.19882728956893225,-0.020293486493880318,0.011376041952184657,0.00556733875081219,soccer
5,120.0,0.07680207308101644,0.008778912009209295,0.024029875574879987,0.020767944174395047,soccer
6,119.0,0.364606251398467,0.049982203686538204,0.022854283515066163,0.013975514531899439,soccer
7,119.0,0.6495250359658821,0.06505907111495197,-0.01782925941630214,-0.02229304073303592,soccer
8,120.0,0.9929018454613949,0.039339281425592385,0.04315671468124983,0.03598641647136376,soccer
9,119.0,1.48167419507662,0.2116531714867997,0.04037403903388918,0.033121291795950886,soccer
10,120.0,2.3559108467086336,0.21780905987949012,0.07008741918157606,0.06179086036249071,soccer
1,23.0,-2.0543037290270014,-0.19447336601391452,0.0036321097630182767,-0.005417647155669803,tennis
2,23.0,-0.9744283706002682,-0.13644108515735978,-0.025978982876394854,-0.03210134082785933,tennis
3,22.0,-0.5449998099641795,-0.05425479691321933,0.011733997564528798,0.00744497572712877,tennis
4,23.0,-0.22494823238833964,-0.005384632679578884,0.015656983197576923,0.007624691546019808,tennis
5,22.0,-0.05311202588220991,-0.0029757888344595545,0.06955672457252401,0.05687859314405232,tennis
6,23.0,0.17551236908597143,0.026084694083422878,0.005164776450311377,-0.0017402376404830092,tennis
7,22.0,0.38883744267045595,0.03573037313043453,-0.03630657368536866,-0.03906138748736217,tennis
8,23.0,0.637045314731946,0.07306646793780745,-0.005272779685681938,-0.015375820629839776,tennis
9,22.0,1.0628944294411076,0.08169040830287073,0.0026112957853535947,-0.0021269624721484567,tennis
