family,fills,p1_wallets,p2_wallets,active_both,tested_p1,fdr_survivors,expected_z>3_by_luck,rho_z,rho_roi,placebo_p2_roi,placebo_p2_roi_5_95
ALL,53772612,282500,636158,7148,23119,99,31.2,0.0364888166550458,0.007623739655152299,-0.008169662188896207,-0.103..+0.084
soccer,13900968,38389,391106,1197,1835,44,2.5,0.04206698649572546,0.00990720865569488,0.013573705294763504,-0.058..+0.097
tennis,10878726,19614,120636,226,573,4,0.8,0.09106597533559445,0.029689290865853184,0.01735728711671866,-0.047..+0.120
esports,8996942,53838,168543,738,1689,15,2.3,0.09812070677041838,0.031223928901946942,-0.013446825729601741,-0.088..+0.058
basketball,9439838,176400,220661,2273,9175,37,12.4,0.058146495422147323,0.04673866325828704,-0.001954016688280702,-0.122..+0.101
baseball,4281483,27516,61543,158,1601,5,2.2,0.15699640531277428,0.16945230840377937,0.003944409670507962,-0.164..+0.160
hockey,2808748,101838,97248,532,2489,16,3.4,-0.002841635203855347,-0.027894170188724268,-0.011030593119447252,-0.167..+0.128
american_football,1534666,85349,36596,80,2190,9,3.0,0.1611345522737928,0.1328645100797,-0.016915876541628082,-0.294..+0.170
cricket,1191323,6341,35622,7,7,0,0.0,,,0.014866040829135665,+0.015..+0.015
mma_boxing,540804,10023,44760,61,125,0,0.2,0.05600211528291908,-0.020782654680063455,0.002830868543108955,-0.076..+0.110
