selected,active_p2,p2_markets,p2_staked,p2_roi,p2_roi_net_fee,copy_d0_roi,copy_d0_ci,copy_d0_trades,copy_d5_roi,copy_d5_ci,copy_d5_trades,copy_d30_roi,copy_d30_ci,copy_d30_trades,copy_d30_prop_roi,copy_d30_prop_ci,copy_d60_roi,copy_d60_ci,copy_d60_trades,rule,p1_roi,p1_median_z,family
50.0,28,33521.0,495488414.6845096,0.027764831482958174,0.022250199953410193,-0.0022583449324924108,-0.018..+0.013,141760.0,-0.006619968263611753,-0.022..+0.009,127051.0,-0.004685873639467468,-0.020..+0.010,111647.0,-0.015122734345817084,-0.025..-0.006,-0.009980049824897095,-0.025..+0.005,104751.0,pnl,0.1010167542031846,1.3220444549389594,ALL
50.0,15,711.0,140960.487686961,0.12307303231540871,0.12226675874414562,0.04760777287119402,-0.107..+0.206,889.0,0.14290478504529763,-0.030..+0.328,888.0,0.15171464046886654,-0.016..+0.334,829.0,0.1331890912585231,-0.118..+0.409,0.18493894095912958,+0.018..+0.356,817.0,roi,1.2384581524706157,1.19657358550334,ALL
50.0,42,3568.0,1386546.9408651958,0.053363412396157356,0.05200168184344402,-0.061093866762142596,-0.112..-0.010,5195.0,-0.04549773207726534,-0.094..+0.001,5411.0,-0.034956678721799486,-0.094..+0.039,5193.0,-0.019819173515117857,-0.049..+0.009,-0.060311716472605095,-0.105..-0.018,5037.0,z,0.12331808035272182,6.221322182926331,ALL
50.0,36,3143.0,3185113.59841396,0.002422738509391821,0.002214477330406662,0.0006439226422988371,-0.010..+0.011,2518.0,0.0001582523947050727,-0.012..+0.012,2496.0,0.012694939245177308,-0.015..+0.054,2374.0,-0.0010568868665632566,-0.016..+0.012,-0.004966694259641658,-0.018..+0.009,2246.0,win_rate,0.003753977469929913,0.37348712667622475,ALL
50.0,29,46768.0,510275659.3437036,0.018549631211578706,0.012974331085166175,-0.005353887300868123,-0.019..+0.009,140195.0,-0.005293230644901494,-0.021..+0.009,127843.0,-0.004251303388185383,-0.019..+0.011,112851.0,-0.014585454614264713,-0.024..-0.005,-0.012175868709759919,-0.027..+0.002,106537.0,whales,0.005178498102859133,0.381225025376006,ALL
97.0,80,13981.0,8027724.178796822,0.06802241120480444,0.05956951888534168,0.006890496735434727,-0.019..+0.033,27604.0,-0.0029718369266365213,-0.029..+0.022,27128.0,-0.011013892840687,-0.035..+0.013,26390.0,-0.00850354459082802,-0.029..+0.013,-0.009542966383355536,-0.035..+0.013,25757.0,fdr,0.10707647749420063,4.429653526223887,ALL
50.0,47,76367.0,1029222067.1073811,0.09812520930879004,0.08876741550183777,0.004706572692858554,-0.008..+0.018,168791.0,-6.893989833624747e-06,-0.014..+0.013,151366.0,-0.0010825080095852398,-0.015..+0.012,132050.0,-0.013145269839456249,-0.021..-0.004,-0.008037457130066204,-0.020..+0.005,124682.0,lb_pnl,0.048430147940399994,1.1931503270981034,ALL
50.0,42,133221.0,1265313885.912145,0.017746574415877226,0.0083405473444554,0.0011182299013093122,-0.011..+0.013,163878.0,-0.0012513627345101803,-0.013..+0.011,152998.0,-0.0041056014543074965,-0.017..+0.008,138948.0,-0.014480899594360412,-0.023..-0.007,-0.0014530592036619263,-0.014..+0.011,133834.0,lb_vol,0.007624027771587748,0.07818591609584288,ALL
,636173,,,0.0027021435488199914,-0.00699424799599387,,,,,,,,,,,,,,,all takers,,,ALL
50.0,37,21871.0,234960551.9427231,0.041797693564459316,0.03472178221500078,-0.0061915607494763695,-0.032..+0.022,45776.0,-0.0026320054216643707,-0.032..+0.025,40537.0,-0.015568330880231605,-0.045..+0.013,35564.0,-0.02316961133688069,-0.042..-0.006,-0.01724764583251284,-0.047..+0.013,32252.0,pnl,0.14569219402642986,1.329007174636853,soccer
50.0,48,8489.0,2163309.6519559314,-0.006447159278065296,-0.014218870830573967,-0.005760075139982087,-0.071..+0.065,11418.0,-0.002492288830915064,-0.070..+0.065,10816.0,0.00768217210282797,-0.070..+0.086,10505.0,0.05801137931252796,-0.141..+0.393,0.03638454934446565,-0.046..+0.137,9983.0,roi,0.620698521920841,2.2649066860794367,soccer
50.0,44,9957.0,1783280.6687968313,0.06395045172489205,0.06121739688828792,0.028405635478193567,-0.023..+0.089,8126.0,0.011537514458734414,-0.037..+0.072,8378.0,-0.0010523867115262058,-0.052..+0.062,7984.0,0.0991837911322429,-0.036..+0.352,0.024396068249430643,-0.037..+0.096,7909.0,z,0.3470891485419007,3.8274730427104187,soccer
