phase,stake,delay_s,trades,copy_roi,ci95
all,proportional,0,102678,0.03942118932906388,+0.021..+0.059
all,proportional,1,101633,0.011280849835536419,-0.008..+0.031
all,proportional,2,101637,0.010414013352852561,-0.008..+0.029
all,proportional,5,101538,0.001911833575380495,-0.018..+0.021
all,proportional,30,101150,-0.00855801826080998,-0.028..+0.010
all,equal,0,102678,0.0014319657158132495,-0.026..+0.030
all,equal,1,101633,-0.021818154665907027,-0.046..+0.006
all,equal,2,101637,-0.022324784180828384,-0.047..+0.004
all,equal,5,101538,-0.026078620908660206,-0.052..-0.001
all,equal,30,101150,-0.03410485649267466,-0.058..-0.008
pregame,proportional,0,5852,-0.0043607920910640795,-0.083..+0.073
pregame,proportional,1,5113,-0.006454163838712619,-0.092..+0.076
pregame,proportional,2,5118,-0.006050845156422507,-0.087..+0.071
pregame,proportional,5,5081,-0.014727324681982004,-0.098..+0.073
pregame,proportional,30,4987,-0.024461950492432983,-0.111..+0.053
pregame,equal,0,5852,-0.0170276622045479,-0.068..+0.035
pregame,equal,1,5113,-0.022317558167533322,-0.079..+0.034
pregame,equal,2,5118,-0.021866224075284962,-0.084..+0.033
pregame,equal,5,5081,-0.0255554566452176,-0.083..+0.035
pregame,equal,30,4987,-0.03306447156038346,-0.091..+0.027
in_play,proportional,0,96826,0.044141146721151825,+0.026..+0.064
in_play,proportional,1,96520,0.013103045849587023,-0.006..+0.034
in_play,proportional,2,96519,0.012106225081310562,-0.006..+0.032
in_play,proportional,5,96457,0.003607347257507534,-0.014..+0.023
in_play,proportional,30,96163,-0.006981699187467849,-0.025..+0.012
in_play,equal,0,96826,0.002547634467904149,-0.025..+0.028
in_play,equal,1,96520,-0.02179169952600011,-0.050..+0.007
in_play,equal,2,96519,-0.022349099710622215,-0.047..+0.006
in_play,equal,5,96457,-0.02610617927790818,-0.055..+0.002
in_play,equal,30,96163,-0.03415881071266921,-0.059..-0.007
