scope,rule,delay,months_with_fills,trades,pnl_usd,capital_usd,copy_roi,filled_months_positive
all,random,0,14,24623,-7289.881665000057,558957.532341756,-0.013041924016050116,0.35714285714285715
all,random,1,14,24618,-7544.222491443815,558165.9815111469,-0.013516091523562606,0.35714285714285715
all,random,5,14,24664,-5869.495388543663,559198.1677651333,-0.01049627078000171,0.42857142857142855
all,random,30,14,23866,-9741.039154041213,558591.8517424574,-0.017438562921487773,0.42857142857142855
all,whales,0,14,171174,13796.874784684138,2534022.035508602,0.005444654620738125,0.7142857142857143
all,whales,1,14,169516,12677.901910156226,2534046.327995155,0.0050030268863263125,0.7142857142857143
all,whales,5,14,160303,12336.777188864851,2534761.428343781,0.004867036814950167,0.7857142857142857
all,whales,30,14,146720,-5812.092670832986,2539970.303538267,-0.0022882522141052354,0.42857142857142855
all,z,0,14,25315,-6362.370250637816,606528.5980110072,-0.01048981082096042,0.35714285714285715
all,z,1,14,25371,-7021.61019760048,606387.3748176156,-0.01157941357158431,0.42857142857142855
all,z,5,14,26078,-7104.0513088372445,600282.4380925951,-0.011834514651820326,0.2857142857142857
all,z,30,14,24442,-4960.232919634487,608059.1875546058,-0.008157483714015984,0.5
american_football,random,0,6,2164,392.8615900374948,74360.96288657979,0.005283169754494882,0.6666666666666666
american_football,random,5,6,2132,230.6137122841609,74277.44315011002,0.0031047610486282513,0.6666666666666666
american_football,random,30,6,2111,832.9077362561724,73559.26892701426,0.011322947446399802,0.5
american_football,z,0,6,3152,-22.050899671344965,85889.07190617528,-0.00025673696527345457,0.6666666666666666
american_football,z,5,6,3040,-554.3962811701064,85802.2405280733,-0.006461326391456126,0.5
american_football,z,30,6,2884,155.96109763146103,85275.19107880702,0.0018289152525888762,0.5
baseball,random,0,11,11936,6166.879093334083,263636.82180095516,0.023391569702619366,0.7272727272727273
baseball,random,5,11,11651,2264.0792992544834,266040.42789464456,0.00851028288133369,0.45454545454545453
baseball,random,30,11,11606,-3452.0546184609566,265310.6830306643,-0.013011366821071327,0.2727272727272727
baseball,z,0,11,19308,307.98274305093855,313518.70206546166,0.000982342491921368,0.45454545454545453
baseball,z,5,11,17301,-938.714078767,314501.197942853,-0.002984771075299913,0.36363636363636365
baseball,z,30,11,15496,974.261921500396,314679.4483548813,0.003096045600034443,0.45454545454545453
basketball,random,0,14,5728,5131.29116810392,140182.44991409287,0.036604376448325,0.7142857142857143
basketball,random,5,14,5680,6399.961788949998,139601.75214629568,0.04584442308605953,0.7857142857142857
basketball,random,30,14,5657,3696.4207036923626,139121.68519628257,0.026569694713496277,0.6428571428571429
basketball,z,0,14,5401,1713.7751140317087,137335.37564189968,0.01247875943122154,0.5714285714285714
basketball,z,5,14,5423,600.5451522131864,137557.34869793121,0.004365780221105834,0.5
basketball,z,30,14,5422,2121.7162028368643,135456.14760872922,0.015663491397714415,0.6428571428571429
esports,random,0,13,9677,-1650.9819109225414,271084.7434729427,-0.006090279702838858,0.5384615384615384
esports,random,5,13,9662,190.09520402853605,271020.33847705845,0.0007014056771411913,0.6153846153846154
esports,random,30,13,9659,-6075.85464526693,269988.98812151176,-0.022504083175912414,0.38461538461538464
esports,z,0,13,12677,7224.2437197828185,320528.3431539036,0.022538548849372907,0.6923076923076923
esports,z,5,13,12747,1773.594186183359,320916.91686386685,0.005526645972782166,0.5384615384615384
esports,z,30,13,12591,-996.0375052426718,319847.1116703444,-0.0031141050486310283,0.5384615384615384
hockey,random,0,9,5074,-1081.2914581705902,113608.22042513976,-0.009517721993392979,0.3333333333333333
hockey,random,5,9,5059,-1002.1110737841598,113647.01152066544,-0.008817751213827009,0.5555555555555556
hockey,random,30,9,4865,-1158.3381217386884,113367.36064325659,-0.010217562754977922,0.5555555555555556
hockey,z,0,9,5427,-2530.9067212614495,115991.0665050991,-0.021819841799197423,0.4444444444444444
hockey,z,5,9,5713,-2172.5437696302183,114695.96585692726,-0.018941762715004886,0.3333333333333333
hockey,z,30,9,5252,-216.34038663409981,115552.3350043603,-0.0018722286020956334,0.6666666666666666
pregame,random,0,14,10248,-192.7033083690917,298693.9612754542,-0.0006451530106140364,0.5
pregame,random,60,14,9663,-672.1848531765909,286383.9119515135,-0.0023471459992151925,0.5714285714285714
pregame,random,300,14,8714,-2063.7018667965685,261338.9648640253,-0.007896648201198442,0.5714285714285714
pregame,z,0,14,10403,-2647.0549150773995,301829.90453395643,-0.008770022039945351,0.2857142857142857
pregame,z,60,14,9954,-4083.8991759599267,293437.5079445589,-0.013917440904424271,0.42857142857142855
pregame,z,300,14,9486,-12934.486714602865,270463.7109194187,-0.047823372202626224,0.35714285714285715
soccer,random,0,11,12289,-10541.118537632345,231007.37545746492,-0.04563109085481674,0.18181818181818182
soccer,random,5,11,12047,-8489.614200847416,230594.76439425832,-0.0368161619937404,0.2727272727272727
soccer,random,30,11,11914,-7386.6492273650865,230358.7690751342,-0.03206584779481889,0.2727272727272727
soccer,z,0,11,13089,8405.756189938136,241327.0036583842,0.034831395005579614,0.5454545454545454
soccer,z,5,11,13504,8420.056111674712,238635.17397602714,0.03528422055887107,0.5454545454545454
soccer,z,30,11,12396,6025.132238795857,243251.97859122354,0.024769098585302286,0.6363636363636364
tennis,random,0,14,16705,-1516.1676444546197,323367.5392095345,-0.004688682259700097,0.35714285714285715
tennis,random,5,14,16419,-5861.377256825184,327687.2084094552,-0.017887110349151053,0.42857142857142855
tennis,random,30,14,15222,-85.11320387786759,330681.98929983523,-0.0002573868751003973,0.5
tennis,z,0,14,27552,-4059.0365889971777,479459.3627357456,-0.008465861560897955,0.5
tennis,z,5,14,26878,-5804.793691069848,470857.6894525692,-0.012328127629854883,0.35714285714285715
tennis,z,30,14,24784,-6764.399739668999,470840.23296596634,-0.014366656173492186,0.35714285714285715
